ID	DEPTH	ModFinal	Degree	Indagain0.6
1876	33.26388954	1	2	0
2559	33.35023078	1	9	0
1318	33.37021429	1	10	0
446	33.40971045	1	3	0
2400	33.47088157	1	19	0
301	33.54201381	1	25	0
734	33.80306779	1	4	0
54	33.81679481	1	14	0
578	33.83990498	1	1	0
29	33.91399089	1	2	0
941	34.02788516	1	31	0
849	34.08961946	1	2	0
398	34.22441515	1	2	0
1550	34.26428423	1	1	0
2565	34.26995314	1	19	0
786	34.30361031	1	1	0
1124	34.36312885	1	3	0
984	34.42542249	1	4	0
355	34.67375471	1	5	4
2036	34.69569818	1	6	0
2458	34.83838101	1	12	0
939	34.85363058	1	25	0
2425	34.97971521	1	37	0
647	35.00097384	1	6	0
1949	35.01032292	1	28	0
2157	35.01787179	1	43	0
1129	35.11648464	1	3	0
1336	35.14281502	1	17	0
1022	35.17882308	1	1	0
2415	35.20348788	1	36	5
155	35.2583196	1	3	0
1683	35.30761074	1	10	0
1395	35.32658126	1	3	0
1951	35.40024644	1	12	0
2307	35.48816695	1	29	0
494	35.60036582	1	1	0
1485	35.65079086	1	1	0
2430	35.68714634	1	8	0
657	35.73315235	1	2	0
1284	35.78237945	1	2	0
1381	35.8899569	1	1	0
962	36.07793721	1	8	0
1055	36.08801181	1	20	0
226	36.16025431	1	1	4
19	36.20749323	1	1	0
1790	36.29626223	1	26	0
1164	36.36922527	1	23	0
761	36.37260398	1	6	0
505	36.49561827	1	34	0
1219	36.49578802	1	4	0
632	36.64518442	1	39	0
1093	36.65184189	1	3	0
588	36.95935876	1	23	0
1746	37.09796145	1	1	0
2124	37.18257703	1	42	0
596	37.35977254	1	34	0
432	37.41982183	1	1	0
1816	37.53205201	1	6	0
860	37.73562049	1	7	0
2072	37.76058871	1	2	0
2290	37.79433119	1	5	0
1378	37.94693746	1	13	0
85	37.98665054	1	3	0
2259	38.04386851	1	1	0
1679	38.29173808	1	5	0
550	38.40603931	1	2	0
1138	38.41729505	1	8	0
1237	38.46049399	1	3	0
1286	38.66457948	1	5	0
1570	38.78724484	1	1	0
1421	38.81219553	1	5	0
2228	38.95964096	1	43	0
369	39.03309552	1	15	0
136	39.04640555	1	3	0
594	39.09791846	1	11	0
82	39.09933156	1	1	0
899	39.21460168	1	4	0
2278	39.30900309	1	15	0
2418	39.46601922	1	4	0
942	39.50299717	1	9	0
422	39.62895152	1	7	0
2562	39.76849225	1	13	0
763	39.78014093	1	3	0
1277	39.81096773	1	16	5
539	39.90915991	1	10	0
1800	40.00684037	1	2	0
649	40.01181913	1	3	0
2208	40.14005246	1	4	0
1931	40.29419236	1	3	0
2548	40.29966823	1	30	0
1275	40.3512047	1	5	5
1322	40.50056279	1	10	0
1752	40.53230002	1	6	0
2395	40.53339959	1	52	0
93	40.62724068	1	30	5
290	40.63514113	1	7	0
1894	41.01779563	1	1	0
863	41.08717309	1	3	0
444	41.12813335	1	40	5
2106	41.17192429	1	3	0
1334	41.20165309	1	28	5
1247	41.26253861	1	38	0
1383	41.58358993	1	32	5
2424	41.58936773	1	9	0
16	41.65595751	1	4	0
281	41.73704977	1	48	5
930	41.81079026	1	11	5
492	42.11760355	1	6	5
633	42.15549386	1	10	5
2223	42.23741068	1	11	0
1887	42.26944132	1	2	0
711	42.28288333	1	1	0
646	42.36128633	1	4	0
270	42.68379191	1	54	5
447	42.82681991	1	3	0
