ID	DEPTH	Degree
2255	25.90102209	1
2020	25.95527928	1
2487	26.05107258	1
524	26.1787012	1
1842	26.22007841	1
2341	26.48868243	1
371	26.57989035	1
1372	26.581692	1
380	26.5947079	1
473	26.68615948	1
819	26.70150377	1
2046	26.74855707	1
1728	26.98143849	1
1709	26.98556897	1
2491	27.10284859	1
595	27.11252283	1
1694	27.14123834	1
630	27.20274358	1
751	27.23860883	1
1578	27.3489403	1
1435	27.36185399	1
2075	27.40655445	1
1438	27.42093824	1
2515	27.65143113	1
333	27.69488321	1
101	27.83421415	1
1073	27.91445392	1
1098	28.07699172	1
196	28.08343872	1
1297	28.10605518	1
2073	28.13717132	1
1272	28.16078957	1
2237	28.16423972	1
49	28.24713486	1
2449	28.28069559	1
1943	28.33115095	1
264	28.35685829	1
1688	28.44585197	1
1175	28.47912064	1
1081	28.58674379	1
2375	28.64008927	1
1982	28.73421248	1
865	28.83478354	1
1768	28.86740403	1
481	28.9820231	1
42	29.21106502	1
425	29.22162156	1
461	29.27369916	1
1862	29.27470556	1
835	29.28618634	1
403	29.32537453	1
793	29.38730926	1
960	29.41051415	1
2247	29.42097378	1
2121	29.45810329	1
589	29.47203825	1
1925	29.48009374	1
129	29.51502722	1
1294	29.55605635	1
2052	29.59715166	1
1250	29.6066606	1
2450	29.63653876	1
613	29.80337545	1
2269	29.99427649	1
1015	29.99708297	1
2077	30.05115327	1
1078	30.08301934	1
1923	30.14840315	1
277	30.28101052	1
2472	30.42331494	1
2533	30.48942791	1
2445	30.51254123	1
2311	30.51787417	1
1835	30.65494378	1
1917	31.20880193	1
1563	31.2911647	1
217	31.34568668	1
201	31.42218851	1
1516	31.55725021	1
374	31.74527526	1
68	31.81005307	1
731	31.83064252	1
1339	31.96688153	1
2158	32.01981395	1
2100	32.02791138	1
389	32.41125959	1
352	32.69212808	1
915	32.76654637	1
239	32.94598274	1
1594	33.56202694	1
985	33.60475175	1
1221	33.63564439	1
578	33.83990498	1
117	34.00953434	1
1550	34.26428423	1
786	34.30361031	1
50	34.62433474	1
1263	34.76008196	1
2277	34.86150994	1
2063	34.89413589	1
2511	34.94090245	1
1353	35.15221236	1
810	35.16846404	1
1022	35.17882308	1
1844	35.21603743	1
2314	35.54306579	1
242	35.55364883	1
494	35.60036582	1
1485	35.65079086	1
1381	35.8899569	1
1436	36.03015452	1
894	36.14286321	1
698	36.15741959	1
226	36.16025431	1
67	36.16298096	1
19	36.20749323	1
1502	36.35978701	1
511	36.43533063	1
311	36.64517573	1
345	36.64523937	1
901	36.88484101	1
2561	37.04172486	1
1231	37.05308014	1
1746	37.09796145	1
356	37.27606514	1
432	37.41982183	1
1510	37.57908422	1
6	37.59630219	1
2259	38.04386851	1
206	38.14540475	1
2045	38.38305769	1
869	38.57050191	1
1766	38.6127444	1
2410	38.67694915	1
2567	38.75867675	1
1953	38.78306313	1
1570	38.78724484	1
8	38.8407255	1
2321	39.06047832	1
82	39.09933156	1
1774	39.36245031	1
501	39.56276684	1
1029	40.24342759	1
1769	40.30237527	1
1894	41.01779563	1
1482	41.46898127	1
1963	41.56982091	1
1718	42.01990958	1
711	42.28288333	1
1559	42.40933461	1
1717	42.86914765	1
184	43.32372588	1
96	43.34235273	1
1347	44.05163649	1
1311	44.42954921	1
1440	44.75012993	1
512	44.86174952	1
2232	45.03116699	1
1196	45.04360272	1
1735	45.14455204	1
